author,statement,source,date,target
Jeff Cercone,Pennsylvania Gov. Josh Shapiro is “being charged with the attempted assassination of Trump.”,Social Media,"February 14, 2025",pants-fire
Kwasi Gyamfi,"President Donald Trump said he “‘didn’t have time’ to meet the families of the men, women and children who tragically died in the plane crash.”",Threads posts,"• February 14,",false
Ciara O'Rourke,Photo shows National Intelligence Director Tulsi Gabbard and President Donald Trump at her swearing-in.,Viral image,"February 14, 2025",false
Caleb McCullough,"The United States is “last in education out of 40 states … but we're number one in cost per pupil.""",Donald Trump,"February 13, 2025",false
Sofia Ahmed,Elon Musk spent $40 million to buy five Super Bowl Commercial ads to promote DOGE.,Facebook posts,"February 13, 2025",false
Maria Briceño,Coca-Cola “sells out its own workers to ICE.”,Instagram posts,"February 13, 2025",false
Sara Swann,Video shows a sinkhole opened in New York City in February 2025.,Instagram posts,"February 13, 2025",false
Ciara O'Rourke,Video shows celebrities wearing T-shirts with graphics of a middle finger and the word “Kanye.”,Viral image,"February 13, 2025",false
Ciara O'Rourke,"Says Kash Patel said, “FBI investigation uncovers 256 emails between Adam Schiff and Jeffrey Epstein.”",Instagram posts,"February 12, 2025",false
Ciara O'Rourke,Photo shows Mexican President Claudia Sheinbaum wearing a “Make America Mexicana Again” hat.,Viral image,"February 12, 2025",false
Ciara O'Rourke,"Says Mexican President Claudia Sheinbaum told President Donald Trump, “They will beg us to tear down this ugly wall.”",Facebook posts,"February 12, 2025",false
Sofia Ahmed,"Bill Gates said, “Defunding USAID will bring about another mystery illness across the world.”",Social Media,"February 12, 2025",false
Ciara O'Rourke,“JAG arrests … USDA Inspector General Phyllis Fong.”,Facebook posts,"February 11, 2025",pants-fire
Ciara O'Rourke,Video shows President Donald Trump was “booed at the Super Bowl.”,Viral image,"February 11, 2025",false
Ciara O'Rourke,"Says U.S. Sen. Elizabeth Warren said, “There is nothing in the Constitution that says ordinary citizens have a right to see what we spend our tax dollars on.”",Instagram posts,"February 11, 2025",false
Ciara O'Rourke,Photo shows someone raising two middle fingers at President Donald Trump at the 2025 Super Bowl.,Viral image,"February 11, 2025",false
Claire Cranford,President Donald Trump posted that “the Chiefs’ Super Bowl performance was a disaster” and “too focused on DEI nonsense.”,Threads posts,"February 11, 2025",false
Sofia Ahmed,A ‘60 Minutes’ clip shows Kamala Harris lying while cameras roll. “,Instagram posts,"February 11, 2025",false
Caleb McCullough,Ring is “alerting people about (Immigration and Customs Enforcement) raids.”,Instagram posts,"February 10, 2025",false
Madison Czopek,"As head football coach at Texas Tech University, “I recruited (Patrick Mahomes) ... I’ve got to be very good friends with him.”",Tommy Tuberville,"February 9, 2025",false
Maria Ramirez,"At Guantánamo Bay, “we'll have the capacity to continue to do there what we've always done. We've always had a presence of illegal immigrants there that have been detained.”",Kristi Noem,"• February 9,",half-true
Sofia Ahmed,"“Elon Musk officially cancelled USAID and fired all the staff. In his words, ‘we just toppled one of the biggest globalist terror organizations in history.’”",Facebook posts,"February 7, 2025",barely-true
Sara Swann,"CBS News and “60 Minutes” “replaced” former Vice President Kamala Harris’ interview answers “with completely different, and far better, answers, taken from another part of the interview.”",Donald Trump,"February 7, 2025",false
Kwasi Gyamfi,The U.S. Army helicopter in the Jan. 29 plane collision was the same model of helicopter in the 2020 Kobe Bryant crash.,Instagram posts,"• February 7,",false
Ciara O'Rourke,Recent plane crashes in the United States were “human sacrifice rituals” for the Super Bowl.,Instagram posts,"February 7, 2025",pants-fire
Loreben Tuquero,“Breaking news: Taylor Swift officially banned from Super Bowl 2025.”,Facebook posts,"February 7, 2025",false
Ciara O'Rourke,“Elon Musk says Italians should stay in Italy and the Japanese in Japan.”,Threads posts,"February 7, 2025",false
Ciara O'Rourke,An image of a website error code shows the Trump administration “trolling” former Vice President Kamala Harris.,Viral image,"February 7, 2025",false
Jeff Cercone,Graphic shows that the U.S. Agency for International Development paid Chelsea Clinton $84 million.,Social Media,"February 7, 2025",false
Sofia Ahmed,An E! News report said USAID paid millions of dollars to sponsor American celebrity visits to Ukraine.,Instagram posts,"February 7, 2025",pants-fire
Maria Briceño,"""Empresa Coca-Cola le pide perdón a los inmigrantes y le envían un mensaje especial a todos los afectados"".",Facebook posts,"February 7, 2025",false
Madison Czopek,Early reports of four survivors show “this DC plane crash story isn’t adding up.”,Facebook posts,"February 7, 2025",false
Claire Cranford,On support for U.S. Agency for International Development,Marco Rubio,"February 7, 2025",full-flop
Ciara O'Rourke,"Says Elon Musk said, the Pentagon was spending $600 million a year on sushi.",Facebook posts,"February 6, 2025",false
Ciara O'Rourke,Video shows Robert Kennedy Jr. promoting a diabetes cure.,Facebook posts,"February 6, 2025",false
Samantha Putterman,Florida’s in-state college tuition waiver for immigrants in the country illegally costs the state $41 million.,Randy Fine,"February 6, 2025",barely-true
Ciara O'Rourke,Video shows Robert Kennedy Jr. promoting a diabetes cure.,Facebook posts,"February 6, 2025",false
Loreben Tuquero,Video shows President Donald Trump saying Mexicans call him “peachy cool arrow.”,Instagram posts,"February 6, 2025",false
Maria Briceño,“Al patinador artístico estadounidense Jon Maravilla se le negó el embarque en el vuelo de American Airlines (hacía Washington D.C.) que posteriormente colisionó con un helicóptero”.,Threads posts,"February 6, 2025",false
Jeff Cercone,Federal websites updated with a nine-star flag that represents the Confederacy.,Social Media,"February 5, 2025",false
Amy Sherman,"From the U.S. Agency for International Development funding, “10 to 30 cents on the dollar is what actually goes to aid.”",Brian Mast,"February 5, 2025",false
Ciara O'Rourke,"Video shows a missile crashed in a Philadelphia neighborhood Jan. 31, not a jet.",Instagram posts,"February 5, 2025",false
Ciara O'Rourke,"“U.S. figure skater Jon Maravilla was reportedly prevented from boarding a doomed flight to Washington, D.C.”",Threads posts,"February 5, 2025",false
Maria Briceño,"“El gobernador de California le ha dejado las cosas bien claras a Donald Trump que si llega a deportar a los inmigrantes que viven en California el estado independizara de Estados Unidos y se unirá con México"".",Instagram posts,"February 5, 2025",false
Maria Briceño,"Mexico’s President Claudia Sheinbaum said, “I’m confused. I keep hearing everyone from America saying that my country is sending felons and (rapists) into their country. We thought that was encouraged … considering that’s what they chose to be their president.”",Instagram posts,"February 5, 2025",false
